lapTime,compound
90032,MEDIUM
88954,MEDIUM
88153,MEDIUM
87806,MEDIUM
87335,MEDIUM
87943,MEDIUM
87783,MEDIUM
86724,MEDIUM
87646,MEDIUM
87226,MEDIUM
110598,MEDIUM
87207,MEDIUM
87307,MEDIUM
87462,MEDIUM
87227,MEDIUM
86762,MEDIUM
87409,MEDIUM
86576,MEDIUM
87010,MEDIUM
86722,MEDIUM
86646,MEDIUM
87023,MEDIUM
88066,MEDIUM
87467,MEDIUM
87183,MEDIUM
87060,MEDIUM
86906,MEDIUM
86957,MEDIUM
87170,MEDIUM
86885,MEDIUM
86771,MEDIUM
91186,MEDIUM
106142,MEDIUM
85491,SOFT
86376,SOFT
85282,SOFT
84820,SOFT
84714,SOFT
84525,SOFT
84490,SOFT
84471,SOFT
84434,SOFT
84984,SOFT
84845,SOFT
84944,SOFT
100370,SOFT
121220,SOFT
131745,SOFT
123645,SOFT
93562,SOFT
89345,SOFT
126632,SOFT
