lapTime,compound
86401,SOFT
86181,SOFT
85782,SOFT
85512,SOFT
85660,SOFT
85297,SOFT
85618,SOFT
85886,SOFT
85953,SOFT
85858,SOFT
107245,SOFT
88719,SOFT
85615,SOFT
85794,SOFT
85903,SOFT
85870,SOFT
85985,SOFT
85799,SOFT
85750,SOFT
85790,SOFT
85901,SOFT
85719,SOFT
85800,SOFT
89712,SOFT
105038,SOFT
85012,MEDIUM
85190,MEDIUM
84829,MEDIUM
84798,MEDIUM
85071,MEDIUM
84918,MEDIUM
85095,MEDIUM
84857,MEDIUM
84831,MEDIUM
84919,MEDIUM
84829,MEDIUM
84745,MEDIUM
84815,MEDIUM
84905,MEDIUM
85078,MEDIUM
84926,MEDIUM
85010,MEDIUM
85122,MEDIUM
84824,MEDIUM
85257,MEDIUM
84750,MEDIUM
112443,MEDIUM
134689,MEDIUM
100364,SOFT
136259,SOFT
143993,SOFT
132367,SOFT
